Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79874.73935,4.936370911,7.14637679,4.14,30410.23296,1196996.681,"427 William Estates
New David, AS 97086-1735"
64346.9875,5.790963732,6.978865478,2.02,32337.73286,959102.081,"73554 Justin Springs Suite 074
South Barbaramouth, AZ 98406"
83875.55987,7.243606997,8.522705293,5.46,30783.1704,1735416.921,"889 Michael Park Suite 582
East Kathleen, WV 56246-6708"
70365.51451,6.578553646,7.383852503,4.17,29450.53049,1500481.76,"467 Charles Corner Suite 640
New Dennisstad, CA 86309"
55468.48689,6.783950659,7.798627625,3.4,37666.33118,1099351.354,"53604 Charles Inlet
North Sarah, RI 84479"
68186.03169,6.889045997,8.432092837,3.17,33350.48026,1460364.3,"925 Jeffrey Flats
Hendersonland, IL 00112-7975"
71850.31216,6.121209663,6.723680569,2.2,44013.32406,1371640.932,"29275 Wade Bypass Apt. 677
Lake Jonathantown, NM 62508"
61000.16043,6.691542065,7.859604452,3.47,60697.63924,1739761.373,"55801 Lisa Union
Herreramouth, GU 34932-6800"
56036.7394,7.206856384,6.5900353,4.4,33127.90212,1143672.825,"7660 Lewis Springs Apt. 280
Greeneshire, VT 67668-0305"
70614.71712,6.210086642,5.470122703,4.45,39449.98775,1113313.409,"84727 Diaz Stream Apt. 922
Lewishaven, NC 81679"
71208.2693,5.300326049,6.077988865,4.01,25696.36174,920747.9113,"796 Joshua Forges Suite 834
Bensonside, CA 82761"
73376.98596,6.364718802,8.271405144,5,37811.86692,1560615.501,"USNS Pearson
FPO AP 81151"
60823.12775,6.291192186,7.609961509,5.44,35447.29494,1023595.113,"USS Berry
FPO AE 35347"
71676.06716,7.292058586,6.566399296,4.44,45994.22533,1577462.034,"53827 Hines Garden
West Josephland, RI 37586-5546"
76144.48308,7.626934345,6.134192933,3.12,17355.2891,1366405.972,"25182 Long Mountain
Baileyfort, MO 57068"
89548.1483,4.927543161,6.41686771,4.32,39759.64821,1403802.502,"942 Alvarez Fork Suite 039
Quinnborough, AZ 54522"
65273.04487,6.107498549,8.561687059,6.1,40094.90402,1431406.513,"82353 Ronnie Parkway
Anneton, MD 97130-3540"
82973.13756,7.266680745,5.575816267,4,22098.22699,1167626.736,"56832 Roberts Squares Suite 942
North Virginia, MI 05865-5923"
37908.67586,6.233812726,7.252915778,6.07,39632.07979,880402.7569,"901 Peter Fort Apt. 157
Taylorfort, ND 06249-9518"
70374.65306,7.0931575,6.924672834,2.27,35981.18268,1428693.93,"15503 Garcia Lane
Hardymouth, AK 11574-6906"
68672.5608,6.1360608,6.8201874,2.23,45020.7533,1301935.92,"5644 Elliott Fall Apt. 897
Port Morgan, MS 40046"
77112.1712,6.634130356,6.29647314,2.29,36552.22294,1506656.826,"125 Ferguson Way
Gordonburgh, AZ 65380"
58725.63185,6.819396084,6.025570211,2.27,22762.46618,866689.0912,"3321 Timothy Harbor
East Shannonhaven, ID 39704-4663"
69285.68143,4.498635082,6.46266541,2.49,42643.90936,1017105.371,"382 Kaitlyn Springs
Singletontown, AS 01030"
70543.06722,6.106621062,8.385028696,5.32,31116.21596,1480328.345,"1864 Reynolds Key Suite 000
North Anita, FL 02822"
55899.5163,5.220084746,5.164151599,2.01,43063.50372,738411.5218,"Unit 3360 Box 2701
DPO AP 62975"
71375.95177,6.270470462,6.7603218,3.25,42699.72413,1314245.82,"9820 Colleen Underpass Suite 077
East William, GA 30315-2964"
77053.13536,5.27400517,8.940145882,6.09,37397.68063,1587622.641,"USCGC Jefferson
FPO AE 46785-9469"
74741.00798,4.861800892,6.60679465,2.45,33984.10656,1124424.927,"USNV Jennings
FPO AE 37951-6327"
35797.32312,5.544221047,7.795138242,5,24844.20019,299863.0401,"645 Mary Radial
East Roberto, CA 23652-5430"
60850.70206,3.690574063,7.415055719,4.41,56303.30599,873515.9385,"511 Daniel Ferry Apt. 953
Robertmouth, OR 77859"
68383.19698,6.251368329,6.582998318,4.21,37285.03926,1083187.427,"94449 Natasha Junctions
Sarahview, NM 42352"
77434.93925,6.051114759,6.829266648,2.32,41866.189,1598593.733,"00656 William Squares
Johnmouth, WV 45911"
73685.40366,8.916092945,6.291818148,3.05,36000.50603,1798927.098,"7178 Michael Key Apt. 038
Mccallmouth, MS 37873-8910"
59348.62721,6.512462078,7.522803799,6.29,35785.38869,893541.4569,"639 Catherine Spring Apt. 944
Shannonside, PA 98980-9056"
61197.96685,5.577860353,7.393212138,3.46,35551.38521,1032043.212,"614 Jodi Branch
West Victorchester, TX 85087-6434"
79007.54811,6.605518322,7.6819339,5.11,23460.73326,1412776.577,"31832 Harris Gardens Suite 609
New Charles, NH 96925"
69465.30978,6.062056239,8.747066092,5.46,43677.39159,1621700.463,"5536 Thomas Viaduct Apt. 622
Adamborough, FM 43195-6662"
69525.33075,6.697178012,7.018083429,3.22,36950.45121,1343162.637,"6617 Helen Unions
South Susan, MO 41149-7551"
58334.706,5.895957277,8.225442732,4.18,23907.77099,965074.8047,"4062 Alexander Road
Floydchester, MN 54215"
71816.25361,5.504488306,8.19300677,6.34,26990.29906,1253609.764,"PSC 8990, Box 5293
APO AE 95141"
68998.52313,7.019584803,7.285191879,6.18,35821.41717,1399979.667,"562 Joseph Rapids
Lake Kristinville, WA 74464-4314"
53362.68629,7.535710562,7.560199123,3.15,50304.74831,1451658.877,"2765 Robert Viaduct
Port Katherineburgh, IA 85708-6249"
63713.27293,4.787487797,8.017914452,3.12,42507.6117,1032346.87,"81018 Melissa Keys
Lake Mariachester, MD 05009-1830"
63079.1724,6.381165621,8.995983689,3.05,21940.74724,1201110.294,"USCGC Griffin
FPO AA 79620-2929"
75263.11564,3.607404727,7.96045754,5.36,30888.75048,1185160.861,"3554 Sydney Bridge Suite 219
Jennifermouth, NJ 82363-0193"
67468.61518,7.080239915,7.619312876,3.03,44476.16566,1641226.584,"2003 Lori Radial
Kendraberg, OK 79288"
63162.1764,4.267963158,8.824855567,5.01,38697.79775,1203094.09,"3214 Davis Key
East Richardshire, VT 43206"
67794.29477,8.104891037,6.211783186,2.45,25903.80948,1343394.634,"753 Gerald Locks
West Albert, IN 31235"
58676.41153,5.978276738,5.666756834,3.4,56269.46294,1213852.473,"49686 Walker Burg Apt. 611
Huynhmouth, VI 86964-8089"
48537.08397,6.802426876,6.740965492,3.22,18691.31046,581200.0967,"97792 Daniel Village
Nashport, VA 34332-6982"
75437.52345,5.017667006,4.683749947,2.1,31432.72954,877566.822,"USNS Crawford
FPO AE 20733-0244"
75989.28169,7.803594948,8.126458145,3.49,37299.51548,1843979.304,"USS Galvan
FPO AA 85454-9012"
55766.0996,6.012357693,6.765692399,3.21,45764.00499,1113647.87,"313 Dana Overpass Apt. 097
Timothymouth, MP 13640"
66169.90518,6.910734248,6.467064994,2.06,25362.12063,1120439.365,"666 Patrick Islands
East Chaseside, CT 39131"
83470.58715,5.394285017,8.430838923,3.14,39220.94114,1694139.127,"8845 Lori Summit Apt. 799
Allenstad, OK 68168-8230"
62223.19972,6.421407032,6.921320356,2.45,35450.55482,1197307.146,"481 Sarah Plaza
East Meganton, SD 39173-7869"
83357.44997,6.073122168,6.229591316,3.05,28688.31025,1168822.817,"10850 Nichols Manors
South Bradley, PA 54126"
64204.72064,4.862155018,7.714890984,6.21,46157.43916,1233484.477,"622 Austin Union
Donnaside, NY 82528"
87551.60113,6.749167399,6.673699291,3.36,26612.95953,1455556.466,"477 William Ville
South Laurie, KS 17387-7716"
61449.43132,4.899965639,7.025530482,5.26,42419.86559,1063182.696,"08948 Mia Rue Suite 821
Tatechester, DC 53668-4238"
75289.63147,5.133139188,7.536935464,5.12,21667.43584,1152046.592,"5512 Foster Locks Suite 133
Thomasshire, SC 35874"
68789.32901,5.851196079,8.258215468,3.5,41491.22028,1555184.581,"PSC 2409, Box 2579
APO AA 82056-9434"
55557.74019,5.837854879,5.87001334,4.31,19220.93319,499548.0114,"164 Phillips Radial
East Derekburgh, MH 12917-2968"
61783.90057,6.90303639,8.216386576,4.09,34189.24805,1405495.71,"14998 Michelle Route Apt. 680
Angelamouth, MD 51062-2051"
78926.16508,5.163521343,6.424496498,2.43,34478.06592,1151211.909,"04415 Angela Street
Lake Timothy, NC 51744"
73263.33485,5.929289023,6.69441996,3.15,30957.84766,1362436.154,"017 Dawn Trafficway Suite 522
Dianaborough, WV 49100"
75156.53733,6.308395995,7.321780294,5.5,38652.35807,1412501.246,"569 Campbell Meadows Apt. 296
Lake Lorifurt, VT 91278"
68945.16871,6.249339485,6.976326471,4.21,30124.27236,1249669.628,"520 Chapman Haven Apt. 595
New Annettefort, VI 09640-6515"
65632.92598,6.420380544,5.929531324,4.43,42803.22141,1184527.374,"76258 Miller Station Suite 386
Lake Heatherport, NM 29988"
67814.85878,6.060944853,8.327143224,3.32,43477.65721,1557914.89,"95320 Sharp Parkways
Port Tiffany, WV 50541-5216"
71045.19192,6.041493753,6.182282849,4.46,30143.96876,1169265.146,"6888 Larry Trafficway Suite 869
South David, ND 24759"
49211.35973,6.376043795,6.13548984,2.04,21182.08128,449728.101,"234 Dale Estates
New Jennifermouth, IA 96522-2177"
62491.55833,7.201998599,8.345119881,5.4,24677.90116,1295918.333,"155 Weiss Crescent
South Mark, CA 60811"
62500.96326,4.800144156,7.397915472,6.07,38180.26452,877822.6629,"40991 Tara Forges
South Ronald, NC 20408-0652"
65706.75564,6.180693957,5.698131456,4.31,42527.78566,1271340.381,"0612 Jimenez Way
Arnoldfort, TX 11863-1792"
65453.86714,6.514494841,7.195246196,6.5,49972.47158,1410010.994,"4130 Long Inlet Apt. 961
North Richardtown, NH 89056-7178"
56161.34612,6.4259128,7.065434331,5.37,46485.05118,1140187.681,"7595 David Village
Phillipchester, NJ 96227-7495"
70885.42082,6.358747139,7.25024055,5.42,38627.30147,1547888.633,"340 David Forges
West Sandrabury, DE 15884-2997"
94805.33864,6.271926426,4.839427216,4.49,45481.4526,1813996.933,"Unit 4204 Box 6566
DPO AA 89678"
65579.37802,5.952556523,5.828072176,2.33,41260.29962,1063130.946,"USNV Cervantes
FPO AA 22656-4184"
60457.64009,6.432299767,7.242866046,6.38,39182.48551,1280276.424,"1940 Michael Roads Suite 302
Crosbymouth, AZ 98409"
74191.19001,6.423029679,6.348261153,4.28,33838.79497,1194515.338,"981 Daniel Well
Lake Jenniferport, NV 03109-5173"
74469.43768,5.873869785,6.881173647,4.47,35370.30666,1399892.256,"04389 Cathy Village Apt. 129
Mcgeeview, NC 63795"
57699.65848,7.004415751,6.654807338,3.17,60849.31686,1601482.767,"8073 Hendrix Corners
Coopershire, AZ 02395"
75342.97535,5.986603379,7.279934744,6.37,42151.26886,1540997.886,"066 Keith Turnpike
South Rebeccahaven, AK 73792-2345"
52193.01731,6.334128747,7.440332072,5.11,45134.84196,1107077.913,"1661 Lynn Grove
Floresbury, ID 25268"
85386.92482,5.728294163,8.0147891,6.21,45248.47795,1922406.383,"0874 Thomas Landing
Knightside, IN 13474-9577"
79064.68327,5.256405314,6.450724917,3.02,43834.10783,1261761.231,"09098 Phillips Extensions
North Mark, WV 45805"
80256.98119,6.411221781,5.27954936,2.39,40240.57932,1232992.841,"91627 Robert Shoal Suite 118
Sharonport, DE 91527-7302"
73411.34235,6.07357197,9.295571016,5.1,28435.15125,1640359.139,"31050 Cole Meadow Apt. 478
New Jeffreyside, KS 41326-5833"
69089.87334,5.468557358,6.628832233,3.27,30622.35883,1020536.191,"Unit 5418 Box 0146
DPO AP 59920"
64909.04115,6.63613135,9.054827004,5.1,42180.64794,1577849.524,"PSC 0168, Box 7925
APO AA 41788"
76936.14094,5.954803266,6.185129254,4.21,23283.11482,962069.002,"382 Bates Ranch Suite 216
Lake Krystal, MD 82707-2229"
55734.7479,6.579630929,7.280337335,3.42,32524.62766,1073347.545,"366 Reilly Island
Sampsonfort, MP 48533"
84040.50024,6.322338024,5.275145433,2.24,44711.08062,1609092.318,"52318 David Plain
Port Marcusshire, ND 91199"
79522.9708,4.590627745,8.044295875,6.28,61223.99761,1727453.155,"682 Taylor Prairie Apt. 893
Debramouth, ID 81085"
64715.01827,6.57296562,6.75249135,3.32,37212.31179,1474466.88,"7635 Bryan Spurs Suite 094
Erinmouth, NC 26418-8921"
75136.30915,7.205959101,8.223379925,5.14,35514.53476,1633138.098,"960 Wagner Meadows Apt. 373
Amyport, GA 05256-5382"
72606.0485,7.340763348,7.343027767,6.16,31550.41528,1629345.787,"80592 Hendricks Extension
Shaneberg, DE 57151"
59979.98691,5.367789514,7.287303779,6.27,33072.60529,980049.3901,"545 Flores Shoal Suite 364
Ericatown, IL 38240"
65567.85918,5.184775392,6.544099249,4.22,44057.14966,928538.7848,"033 Jennifer Squares
Lake Seanmouth, SC 57286-2829"
55250.11036,5.560995921,6.105253614,4.12,22912.06692,583016.7919,"216 Erin Junctions Apt. 524
East Anthony, VT 42099-5384"
81137.46297,7.726796262,6.791657259,3.21,34493.74717,1659170.513,"990 Kelly Greens Apt. 165
Hernandezfort, TX 47559"
73340.58109,3.596318811,6.262380423,3.31,36956.97522,1039332.667,"2003 Karen Harbor Suite 320
West Sarahport, AS 42200-8404"
77622.95812,6.738013799,6.04304029,3.34,51102.44195,1599996.961,"44268 Michele Square Apt. 984
Collinsside, WI 00405"
57542.62568,4.788083238,8.289084856,4.16,46205.87571,1059406.13,"2725 Evan Street
Lake Cynthiahaven, LA 24296-0534"
52848.63047,5.329908451,5.829254933,4.48,53628.68239,880132.844,"9306 Wright Park Apt. 278
South Jacquelinefort, IL 99300-9697"
73654.46422,6.856103872,4.780167701,3.31,31859.24002,1251873.624,"24388 Jones Tunnel Apt. 628
Tiffanyport, MD 02126-2539"
60041.20701,3.989950505,7.407572442,3.06,50637.87411,697656.5924,"822 Delgado Plain Suite 549
Lake Diane, ME 24466"
64379.89582,5.667660494,8.458903003,5,32228.25469,1075314.593,"919 Pena Isle Suite 282
Christopherfort, IN 97810"
63317.59483,5.127972307,8.139139402,6.07,44066.96345,1283151.802,"793 Solomon Trail
North Caseyhaven, PW 83256-4751"
68895.75494,5.817512122,7.605601991,4.24,43119.31268,1213351.632,"03733 Spencer Harbor Suite 960
South David, WV 98357"
57045.76577,4.397396469,6.955933932,2.09,49759.27172,793894.9732,"5845 Emily Mountains Suite 577
Candiceborough, VI 08135-5978"
83714.10924,6.314355157,7.519222866,4.41,28369.93812,1524621.728,"PSC 1257, Box 7891
APO AA 21399"
62968.65071,5.293690102,5.457161866,3.25,24554.56252,556839.6371,"02689 George Hill
Lake Chadton, MS 30265"
56727.63097,6.373225334,7.290158076,6.38,20471.44136,815569.5956,"76668 Roth Hills
West Angela, NC 69190-9430"
76563.97504,7.205099661,6.504768563,3.39,14415.7892,1137060.067,"08933 William Mill
West Barbarafurt, CO 34069-2100"
64938.75249,5.089792276,7.162307155,6.13,34736.08024,1058610.752,"0258 Larson River Apt. 383
Lake Maureen, MA 69401"
52361.24797,5.350465884,6.595070393,3.05,48661.98974,971200.2426,"4569 Christine Lane
North Sherriville, PR 43609-1989"
81602.53935,3.719435743,6.170817028,2.14,18687.5097,757719.6586,"73637 White Bridge
West Kimberlyville, IL 14832-8556"
58566.39972,5.595076667,8.140274546,5.1,53152.34947,1375951.064,"3950 Miles Station Apt. 465
East Gregory, NC 40017-4558"
56397.31914,5.273051063,8.032969243,5.32,27647.44869,748322.7082,"90515 Billy Field Apt. 071
Lake Ronaldton, WY 85841-8451"
76357.53076,7.718861869,5.488894386,2.43,26657.54296,1257101.593,"01321 Brown Street
Lake Natalie, IA 98426-5711"
76695.53925,6.588424072,8.382505409,4.5,18904.66767,1485912.925,"80970 Montes Loop
Port Katie, AL 25329-3838"
64311.30484,5.472331805,6.133704185,3.43,19420.43351,696139.2614,"0474 Amber Pines Suite 323
South Michael, MD 89185"
79299.83606,7.009630788,7.537522483,5.22,39160.73778,1595663.474,"PSC 7959, Box 5821
APO AA 99193"
77279.76366,5.966407438,5.369282474,2.05,37520.70755,1065907.081,"020 Hall Drive Suite 047
Petershire, RI 54803"
46819.68266,5.502964942,7.565890631,6.33,48952.12525,917351.1356,"PSC 6579, Box 4662
APO AA 91879"
82079.81375,6.027099437,7.214831154,6.3,33646.39246,1675123.16,"32001 Samuel Crossing Suite 730
Knightville, AS 40866-3655"
71373.11519,7.01345912,5.958069865,2.03,29187.69331,1305070.013,"56660 Dodson Lodge Suite 145
Powersbury, CT 76895"
61641.05428,7.428645576,7.703687929,5.08,50035.74763,1560693.098,"25344 Joseph Motorway
Marksshire, DC 08477"
81090.48414,5.272441368,6.723928726,3.09,30433.80832,1189981.402,"5796 Phillips Knoll
North Juliachester, TN 06435-8705"
75078.79152,7.644778598,8.440726153,4.33,56148.44932,2108376.166,"304 Obrien Village Suite 750
West Maureen, AS 63430"
71441.38889,7.085074719,7.790208189,5.21,40167.01253,1475734.217,"74690 Derek Points
East Vincentfort, OK 02658-2165"
45610.93841,6.555873429,7.942857914,3.22,42614.83941,961354.2877,"8725 Caitlin Avenue Suite 425
Zacharyside, IN 81680"
88470.86806,7.419982032,6.872379547,2.24,45811.42561,1955253.711,"1145 Ethan Station
East Brian, CO 17006-8309"
74941.5858,7.453375218,7.308749229,6.01,28977.94118,1626368.667,"2480 Catherine Cliffs Suite 880
Cynthiachester, MS 32127"
82973.92391,6.321321946,6.98124786,4.48,29611.52314,1409439.064,"27387 Elizabeth Landing Suite 229
Mcdonaldview, NY 02054-9201"
76395.64694,8.109898928,5.548906181,3.16,36758.32134,1604954.723,"346 Heidi Curve
Rodriguezbury, OR 73871"
87335.34804,5.507505382,8.164426112,6.13,39995.84209,1745516.171,"2539 Robert Springs
South Amybury, SD 12696"
63563.91421,5.662570992,6.848702994,2.26,38088.63597,944032.4773,"775 Gutierrez Corner Suite 080
East Ronaldfurt, NY 14992"
74522.9018,6.04399578,4.491346745,3.31,39312.54907,999826.6093,"738 Kristi Estates
South Miguel, DE 39364-3921"
73299.37848,4.213337832,7.012554224,4.46,45214.48851,1260814.432,"4241 John Radial
Campbellborough, GU 45592-6774"
55980.20481,7.014509861,5.458789378,2.11,43968.68705,1120943.339,"2558 King Trail
East Catherinebury, MP 23625-1906"
73491.13443,5.784430241,4.425959447,3.37,30800.54106,1111307.065,"6043 Stevens Stream
West Kimberlymouth, ME 49723"
83695.27238,7.643507439,7.127218728,5.05,33113.75906,1736401.61,"33465 Hernandez Forest Apt. 692
Port Ashleyfort, KS 51871-6439"
78743.75927,6.583685181,6.595682679,4.07,24381.14454,1340769.768,"805 David Knoll Apt. 216
Mccarthyview, GU 74316"
70720.29646,6.411801087,5.048127846,3.01,19114.01925,801348.5895,"14742 Lopez Ridge Apt. 889
Jessicatown, CA 28254"
54037.58088,8.471765445,6.966071816,3.27,28696.17086,1324382.176,"6278 Jenkins Harbors Apt. 807
New Yvettehaven, MN 34295"
75046.31379,5.351168919,7.797824782,5.23,34107.88862,1340343.857,"55823 Stuart Fields
Nunezstad, NM 03601"
75980.43884,6.583104681,5.914892235,3.23,40394.59349,1518478.033,"1831 Escobar Plain Suite 171
Martinezberg, OH 76148-5909"
80393.3395,8.899713347,5.652974236,4.04,39547.93249,1910585.052,"02084 Rivera Lock
Hallville, NJ 32367-9579"
82224.69501,5.43408707,8.375708139,3.12,57166.86751,1823498.407,"4679 Turner Tunnel
Rosariobury, CT 68552-4766"
75664.02448,5.789202568,6.415312421,2.02,54724.25127,1406865.495,"0476 Jessica Shoals
Melissamouth, DE 39609-2777"
71663.87129,6.150745153,7.311906519,6.33,24109.77806,1203850.104,"1316 Tony Inlet Suite 235
West Jimmy, SC 72946"
58800.90877,5.976506593,7.304050833,6.43,37426.70975,1020095.914,"109 Lee Wall Apt. 315
Lunamouth, AZ 05121-3634"
69655.18395,7.721099651,6.077795397,4.29,32902.35558,1194357.406,"39174 Jessica Mission Apt. 539
West Cindyborough, WV 82109-6583"
62623.35983,5.071624125,6.771015066,3.33,50985.9712,1211899.666,"9894 Greg Ridge
North Tiffanyhaven, ID 66602-9445"
75117.04295,6.036274862,6.538110935,2.22,43976.03106,1378937.877,"PSC 7442, Box 6234
APO AP 13017"
71060.40601,5.718838987,7.222729656,4.34,34814.58559,1260241.396,"5611 Matthew Avenue
Lake Kevin, FM 72963-8891"
65729.22233,6.237786635,6.860474642,3.12,25573.85429,1197073.445,"641 Lisa Parkways Suite 552
West Amandaside, SD 71807-8061"
67637.84067,7.05667295,5.774408721,3.05,43846.53134,1275143.168,"6066 Sanders Court Apt. 914
South Alexis, FM 21016"
47965.4069,5.694637941,7.36332731,5.4,46071.94734,885204.9787,"19960 Scott Street
Port Brenda, MO 02292-8651"
52723.87656,5.45223743,8.124571089,6.39,14802.08844,479500.5568,"86727 Kelly Plaza
Lake Veronica, IL 04474"
74102.19189,5.657841006,7.683993273,3.13,24041.27059,1263720.518,"2871 John Lodge
Amychester, GU 61734-5597"
87499.12574,6.403472866,4.836090778,4.02,40815.19968,1568700.586,"Unit 2096 Box 9559
DPO AE 80983-8797"
69639.1409,5.007510102,7.778375217,6.05,54056.12843,1381830.779,"5259 David Causeway Apt. 975
South Alexstad, IL 42719-2498"
73060.84623,5.293682311,6.312252808,4.16,22695.69548,905354.914,"5224 Lamb Passage
Nancystad, GA 16579"
60567.94414,7.830362444,6.137356228,3.46,22837.36103,1060193.786,"USNS Williams
FPO AP 30153-7653"
78491.27543,6.999134987,6.576762661,4.02,25616.11549,1482617.729,"PSC 9258, Box 8489
APO AA 42991-3352"
63390.68689,7.250590615,4.80508098,2.13,33266.14549,1030729.583,"4215 Tracy Garden Suite 076
Joshualand, VA 01707-9165"
68001.33124,5.534388416,7.130143864,5.44,42625.62016,1198656.872,"USS Wallace
FPO AE 73316"
65510.5818,5.992305307,6.792336104,4.07,46501.2838,1298950.48,"37778 George Ridges Apt. 509
East Holly, NV 29290-3595"
